,nfe,improvements
0,100,11
1,200,14
2,300,20
3,400,29
4,500,43
5,600,50
6,700,61
7,800,74
8,900,84
9,1000,92
10,1100,98
11,1200,107
12,1300,116
13,1400,122
14,1500,133
15,1600,143
16,1700,154
17,1800,159
18,1900,163
19,2000,169
20,2100,177
21,2200,184
22,2300,194
23,2400,203
24,2500,212
25,2600,219
26,2700,223
27,2800,232
28,2900,241
29,3000,250
30,3100,252
31,3200,257
32,3300,265
33,3400,271
34,3500,279
35,3600,285
36,3700,289
37,3800,295
38,3900,301
39,4000,306
40,4100,309
41,4200,316
42,4300,322
43,4400,326
44,4500,328
45,4600,334
46,4700,337
47,4800,340
48,4900,344
49,5000,347
50,5100,353
51,5200,354
52,5300,359
53,5400,362
54,5500,366
55,5600,372
56,5700,374
57,5800,379
58,5900,383
59,6000,387
60,6100,390
61,6200,392
62,6300,395
63,6400,401
64,6500,404
65,6600,407
66,6700,410
67,6800,420
68,6900,422
69,7000,428
70,7100,432
71,7200,437
72,7300,443
73,7400,448
74,7500,453
75,7600,457
76,7700,461
77,7800,464
78,7900,464
79,8000,468
80,8100,470
81,8200,475
82,8300,478
83,8400,479
84,8500,484
85,8600,487
86,8700,490
87,8800,493
88,8900,497
89,9000,501
90,9100,504
91,9200,512
92,9300,515
93,9400,520
94,9500,522
95,9600,529
96,9700,532
97,9800,540
98,9900,544
99,10396,547
100,10924,562
101,11452,576
102,11980,596
103,12508,621
104,13036,649
105,13564,680
106,14092,706
107,14620,747
108,15148,774
109,15676,798
110,16204,825
111,16732,852
112,17260,877
113,17788,895
114,18316,927
115,18844,946
116,19372,970
117,19900,986
118,20428,998
119,20956,1019
120,21484,1042
121,22012,1061
122,22540,1080
123,23068,1097
124,23596,1113
125,24124,1130
126,24652,1142
127,25180,1166
128,25708,1184
129,26236,1213
130,26764,1235
131,27292,1254
132,27820,1278
133,28348,1296
134,28876,1309
135,29404,1326
136,29932,1341
137,30460,1359
138,30988,1376
139,31516,1396
140,32044,1410
141,32572,1429
142,33100,1444
143,33628,1461
144,34156,1476
145,34684,1497
146,35212,1521
147,35740,1544
148,36268,1566
149,36796,1591
150,37324,1607
151,37852,1622
152,38380,1639
153,38908,1660
154,39436,1674
155,39964,1695
156,40492,1709
157,41020,1733
158,41548,1748
159,42076,1764
160,42604,1780
161,43132,1806
162,43660,1821
163,44188,1841
164,44716,1854
165,45244,1882
166,45772,1901
167,46300,1928
168,46828,1944
169,47356,1964
170,47884,1990
171,48412,2013
172,48940,2036
173,49468,2056
174,49996,2082
175,50524,2103
176,51052,2127
177,51580,2141
178,52108,2159
179,52636,2173
180,53164,2193
181,53692,2212
182,54220,2231
183,54748,2257
184,55276,2278
185,55804,2293
186,56332,2312
187,56860,2336
188,57388,2345
189,57916,2362
190,58444,2378
191,58972,2399
192,59500,2413
193,60028,2422
194,60556,2437
195,61084,2449
196,61612,2461
197,62140,2472
198,62668,2499
199,64288,2514
200,65744,2560
201,67200,2611
202,68656,2691
203,70112,2770
204,71568,2842
205,73024,2916
206,74480,3010
207,75936,3108
208,77392,3185
209,78848,3249
210,80304,3304
211,81760,3357
212,83216,3409
213,84672,3464
214,86128,3514
215,87584,3561
216,89040,3612
217,90496,3641
218,91952,3692
219,93408,3728
220,94864,3758
221,96320,3792
222,97776,3837
223,99232,3904
224,100688,3958
225,102144,4015
226,103600,4069
227,105056,4126
228,106512,4177
229,107968,4228
230,109424,4273
231,110880,4318
232,112336,4354
233,113792,4389
234,115248,4420
235,116704,4462
236,118160,4493
237,119616,4540
238,121072,4567
239,122528,4607
240,123984,4643
241,125440,4687
242,126896,4729
243,128352,4764
244,129808,4799
245,131264,4829
246,132720,4848
247,134176,4876
248,135632,4906
249,137088,4942
250,138544,4985
251,140000,5020
252,141456,5052
253,142912,5090
254,144368,5114
255,145824,5149
256,147280,5177
257,148736,5203
258,150192,5240
259,151648,5266
260,153104,5300
261,154560,5332
262,156016,5374
263,157472,5399
264,158928,5440
265,160384,5472
266,161840,5503
267,163296,5547
268,164752,5567
269,166208,5598
270,167664,5623
271,169120,5652
272,170576,5687
273,172032,5722
274,173488,5742
275,174944,5768
276,176400,5805
277,177856,5826
278,179312,5848
279,180768,5876
280,182224,5904
281,183680,5936
282,185136,5964
283,186592,5990
284,188048,6014
285,189504,6043
286,190960,6068
287,192416,6096
288,193872,6124
289,195328,6150
290,196784,6166
291,198240,6195
292,199696,6236
293,201152,6281
294,202608,6317
295,204064,6348
296,205520,6378
297,206976,6415
298,208432,6442
299,212999,6467
300,217147,6575
301,221295,6735
302,225443,6902
303,229591,7103
304,233739,7307
305,237887,7505
306,242035,7683
307,246183,7866
308,250331,8044
