,nfe,improvements
0,100,9
1,200,20
2,300,31
3,400,40
4,500,49
5,600,62
6,700,72
7,800,79
8,900,86
9,1000,96
10,1100,109
11,1200,123
12,1300,134
13,1400,146
14,1500,154
15,1600,161
16,1700,173
17,1800,181
18,1900,186
19,2000,193
20,2100,199
21,2200,205
22,2300,214
23,2400,224
24,2500,236
25,2600,245
26,2700,250
27,2800,257
28,2900,266
29,3000,275
30,3100,283
31,3200,292
32,3300,300
33,3400,305
34,3500,316
35,3600,324
36,3700,340
37,3800,353
38,3900,366
39,4000,375
40,4100,383
41,4200,395
42,4300,401
43,4400,408
44,4500,414
45,4600,420
46,4700,423
47,4800,431
48,4900,435
49,5000,443
50,5100,449
51,5200,458
52,5300,467
53,5400,473
54,5500,479
55,5600,490
56,5700,498
57,5800,503
58,5900,509
59,6000,514
60,6100,521
61,6200,525
62,6300,530
63,6400,538
64,6500,544
65,6600,555
66,6700,561
67,6800,567
68,6900,574
69,7000,579
70,7100,585
71,7200,591
72,7300,597
73,7400,602
74,7500,607
75,7600,609
76,7700,611
77,7800,618
78,7900,630
79,8000,631
80,8100,635
81,8200,639
82,8300,641
83,8400,643
84,8500,647
85,8600,652
86,8700,656
87,8800,660
88,8900,667
89,9000,669
90,9100,671
91,9200,673
92,9300,678
93,9400,681
94,9500,682
95,9600,685
96,9700,693
97,9800,696
98,9900,702
99,10399,707
100,10931,725
101,11463,757
102,11995,777
103,12527,812
104,13059,840
105,13591,873
106,14123,901
107,14655,936
108,15187,963
109,15719,995
110,16251,1016
111,16783,1031
112,17315,1050
113,17847,1076
114,18379,1103
115,18911,1124
116,19443,1141
117,19975,1161
118,20507,1181
119,21039,1206
120,21571,1222
121,22103,1239
122,22635,1262
123,23167,1272
124,23699,1290
125,24231,1316
126,24763,1329
127,25295,1342
128,25827,1356
129,26359,1376
130,26891,1394
131,27423,1422
132,27955,1438
133,28487,1452
134,29019,1471
135,29551,1489
136,30083,1502
137,30615,1518
138,31147,1535
139,31679,1545
140,32211,1563
141,32743,1577
142,33275,1594
143,33807,1611
144,34339,1638
145,34871,1657
146,35403,1673
147,35935,1686
148,36467,1704
149,36999,1720
150,37531,1736
151,38063,1755
152,38595,1768
153,39127,1782
154,39659,1800
155,40191,1812
156,40723,1825
157,41255,1843
158,41787,1854
159,42319,1874
160,42851,1883
161,43383,1897
162,43915,1907
163,44447,1917
164,44979,1927
165,45511,1939
166,46043,1955
167,46575,1969
168,47107,1982
169,47639,1991
170,48171,2008
171,48703,2023
172,49235,2042
173,49767,2057
174,50299,2067
175,50831,2078
176,51363,2101
177,51895,2113
178,52427,2134
179,52959,2145
180,53491,2160
181,54023,2171
182,54555,2185
183,55087,2203
184,55619,2220
185,56151,2236
186,56683,2249
187,57215,2266
188,57747,2286
189,58279,2297
190,58811,2316
191,59343,2331
192,59875,2350
193,60407,2360
194,60939,2371
195,61471,2381
196,62003,2391
197,62535,2411
198,63067,2420
199,64340,2435
200,65328,2451
201,66316,2492
202,67304,2510
203,68292,2537
204,69280,2565
205,70268,2600
206,71256,2643
207,72244,2677
208,73232,2723
209,74220,2761
210,75208,2798
211,76196,2822
212,77184,2854
213,78172,2884
214,79160,2916
215,80148,2945
216,81136,2976
217,82124,3002
218,83112,3036
219,84100,3065
220,85088,3092
221,86076,3115
222,87064,3145
223,88052,3171
224,89040,3197
225,90028,3220
226,91016,3246
227,92004,3261
228,92992,3284
229,93980,3309
230,94968,3335
231,95956,3366
232,96944,3394
233,97932,3412
234,98920,3428
235,99908,3450
236,100896,3468
237,101884,3483
238,102872,3496
239,103860,3524
240,104848,3546
241,105836,3567
242,106824,3587
243,107812,3615
244,108800,3638
245,109788,3663
246,110776,3675
247,111764,3702
248,112752,3719
249,113740,3737
250,114728,3750
251,115716,3766
252,116704,3780
253,117692,3797
254,118680,3824
255,119668,3843
256,120656,3858
257,121644,3873
258,122632,3897
259,123620,3914
260,124608,3938
261,125596,3959
262,126584,3974
263,127572,3999
264,128560,4020
265,129548,4043
266,130536,4069
267,131524,4088
268,132512,4103
269,133500,4119
270,134488,4141
271,135476,4165
272,136464,4179
273,137452,4192
274,138440,4214
275,139428,4235
276,140416,4251
277,141404,4261
278,142392,4281
279,143380,4299
280,144368,4317
281,145356,4331
282,146344,4351
283,147332,4371
284,148320,4387
285,149308,4406
286,150296,4430
287,151284,4458
288,152272,4479
289,153260,4499
290,154248,4517
291,155236,4533
292,156224,4556
293,157212,4569
294,158200,4583
295,159188,4609
296,160176,4631
297,161164,4653
298,162152,4671
299,164835,4686
300,167095,4727
301,169355,4803
302,171615,4878
303,173875,4975
304,176135,5062
305,178395,5171
306,180655,5272
307,182915,5370
308,185175,5444
309,187435,5524
310,189695,5616
311,191955,5693
312,194215,5754
313,196475,5825
314,198735,5874
315,200995,5943
316,203255,5995
317,205515,6060
318,207775,6100
319,210035,6153
320,212295,6208
321,214555,6262
322,216815,6304
323,219075,6357
324,221335,6395
325,223595,6434
326,225855,6467
327,228115,6509
328,230375,6558
329,232635,6611
330,234895,6651
331,237155,6685
332,239415,6727
333,241675,6773
334,243935,6805
335,246195,6846
336,248455,6889
337,250715,6923
